Block Size,I/O Depth,Read Speed (MBPS),Write Speed (MBPS),Read Latency (ns),Write Latency (ns)
128K,1,494.9478647,766.5004966,250092.8825,161615.4291
128K,2,1151.677406,1436.540417,208768.5343,166731.893
128K,4,1974.928498,1409.642709,237027.6012,334981.9058
128K,8,3024.536494,1377.669651,315471.9743,669836.6108
128K,16,3162.52201,1377.019712,609285.296,1399775.452
128K,32,3195.191915,1265.342174,1227762.412,3095860.443
128K,64,3225.508781,1333.215812,2456275.452,5920503.679
128K,128,3240.453634,1474.394901,4916895.544,10784720.73
128K,256,3251.107865,1458.086077,9830870.501,21882595.45
128K,512,3264.846433,1255.97479,19505166.46,50781338.85
128K,1024,3264.248859,1317.432314,39202264.16,97085956.76
4K,1,41.51668363,63.5750476,93185.26848,60325.19163
4K,2,79.35935859,141.3737855,91658.52249,49943.19975
4K,4,178.0486476,226.6102458,77633.52852,55669.94807
4K,8,293.2070066,247.4235819,88182.11223,84401.89607
4K,16,345.1237198,270.8980928,124410.4666,136397.5386
4K,32,369.6883371,249.4480781,204574.0576,273217.2092
4K,64,378.4680114,272.929834,365920.7776,476800.6403
4K,128,373.5214844,270.3253266,703740.9109,945765.1376
4K,256,362.5337365,260.3820165,1412131.643,1942555.015
4K,512,370.0492713,241.4178046,2733297.236,4168113.909
4K,1024,363.5293379,253.8051142,5521887.618,7894042.655
